"","GC_E18_2","GC_E18_3","GC_E18_4","GC_E18_5","GC_E18_6","GC_P0_1","GC_P0_2","GC_P0_3","GC_P0_4","GC_P0_5","GC_P0_6","GC_P3_1","GC_P3_2","GC_P3_3","GC_P3_4","GC_P3_5","GC_P3_6","GC_P6_1","GC_P6_2","GC_P6_3","GC_P6_4","GC_P6_5","GC_P6_6","GC_P9_1","GC_P9_2","GC_P9_3","GC_P9_4","GC_P9_5","GC_P9_6"
"Label","E18","E18","E18","E18","E18","P0","P0","P0","P0","P0","P0","P3","P3","P3","P3","P3","P3","P6","P6","P6","P6","P6","P6","P9","P9","P9","P9","P9","P9"
"Rtca","14.56489","15.41528","15.49309","15.15226","15.76038","17.94327","16.98255","16.12607","16.96361","18.73295","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.11040","17.84631","17.45577","17.41972","17.48198","18.06029","16.44043","15.66163","16.50828","15.23540","16.45865","16.29927"
"Atp5pd","14.56489","15.41528","15.49309","15.15226","17.36749","16.22936","15.61702","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.19580","17.94808","18.00835","18.16592","17.65360","14.30365","19.52241","18.81503","20.40570","18.40417","16.45865","18.48909"
"Rab4a","14.56489","15.41528","15.49309","15.15226","15.76038","17.95518","15.61702","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.22534","17.40886","16.76828","17.75327","16.80146","17.31758","17.09902","18.27775","16.50828","16.81860","16.45865","16.29927"
"Alpl","14.56489","15.41528","17.42420","15.15226","15.76038","16.22936","15.61702","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.10351","18.27587","18.43378","16.29927","18.29435","17.89813","15.92083","15.66163","16.50828","15.23540","16.45865","18.60305"
"Ptpra","16.90345","17.46688","17.43896","18.06377","17.52024","16.22936","18.00835","16.12607","18.53070","18.59186","18.97252","19.64365","19.38255","19.36583","19.76111","19.39160","19.30365","15.95166","15.04187","15.96210","15.94578","16.18767","16.54062","17.12653","18.55409","18.55409","19.46540","17.78811","17.59182"
"Ptges3","20.779483","20.423788","20.648736","20.066827","20.177106","18.093476","21.597567","20.519877","20.572398","19.750595","19.406326","21.262131","20.865497","20.532213","21.008533","21.328090","20.830453","16.209238"," 6.848008","19.252480","18.380231"," 6.848008","18.000957","19.976659","21.539848","20.659090","21.289488","19.171221","20.214110"
"Grm3","16.77769","15.41528","15.49309","15.15226","15.76038","16.22936","15.61702","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","16.63983","16.86395","18.20691","15.88220","14.35966","15.89192","13.11983","17.30969","16.50828","15.23540","16.45865","16.29927"
"Eml4","21.08568","20.58704","20.89822","19.90880","23.31487","20.86071","22.75162","19.85097","19.87269","19.44429","18.78579","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","19.14319","18.40417","17.89002","18.84679","19.12482","19.26313","19.13349","19.79600","19.88274","20.91788","19.58586","20.20545"
"Ahsa1","17.88633","18.00835","17.89813","17.68484","17.57696","16.22936","16.80146","16.12607","16.96361","18.67038","18.48508","19.27992","19.21093","19.17122","17.47046","19.31401","19.09194","14.54823","15.66163","16.60415","17.27466","16.84555","16.38116","17.04290","15.66163","16.50828","16.58006","17.76747","16.29927"
"Capns1","14.56489","18.03745","15.49309","15.15226","18.21654","16.22936","15.61702","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","16.59371","16.93197","17.38224","16.40900","16.72388","16.71560","17.46159","18.77768","19.14319","17.68484","16.45865","18.99729"
"Hsd17b10","17.66107","17.59182","17.49739","17.35215","15.76038","16.22936","18.04051","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","19.44097","17.45309","17.39907","16.74344","16.43529","17.59182","16.44043","16.36109","16.25580","16.94984","17.80368","16.50828","16.91477","19.04958","16.29927"
"Grk2","19.06240","18.93839","18.67487","18.08018","15.76038","17.97749","19.07590","16.12607","16.96361","22.18833","21.56197","17.46424","17.46424","17.44687","17.47046","17.45309","20.15570","19.21804","19.41838","19.01966","19.63692","19.28540","19.03401","18.82489","19.90880","19.87269","18.93047","19.28540","19.30826"
"Rims1","18.20691","18.53070","18.63453","18.39184","18.59954","18.13098","17.84631","17.56664","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","16.53008","15.69019","15.90057","16.81091","16.90345","16.94502","16.82763","15.66163","16.50828","17.39907","16.45865","16.29927"
"Ndufs3","18.286907","18.895503","19.058429","17.828118","15.760376","16.229362","18.433778","16.126067","19.602537","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074"," 6.848008"," 6.848008"," 6.848008","17.865577"," 6.848008","18.242905","17.748768","15.661630","19.743897","18.950159","19.694019","16.299267"
"Acox1","14.56489","15.41528","18.43143","17.12653","15.76038","16.22936","15.61702","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","20.26466","19.54138","19.28949","20.22436","19.87269","19.17460","13.11983","18.76145","16.50828","15.23540","16.45865","16.29927"
"Ogdh","17.21670","17.27466","16.74344","17.15643","15.76038","16.22936","15.61702","18.47329","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","16.44696","17.05795","17.37530","17.12332","17.43236","17.22155","19.20612","18.95016","16.50828","17.97749","18.11040","17.53049"
"Necap1","18.080180","17.065360","15.493092","17.661066","15.760376","19.482893","17.767473","17.419715","16.963611","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","17.362686","16.850089","16.850089","16.571036"," 6.848008","17.099021","16.209238","15.661630","16.508282","16.518714","18.438276","16.299267"
"Chmp6","19.303653","19.102130","19.336407","18.961424","18.683017","19.902601","19.163851","18.654151","16.963611","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","16.271202","17.243416","18.047941"," 6.848008","18.619413","18.794528","17.321944","15.661630","16.508282","17.291358","16.458650","16.299267"
"Sec62","16.88502","17.92508","17.52276","17.81695","15.76038","16.22936","15.61702","18.11969","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","16.72388","18.95642","18.18456","19.21804","18.41568","19.40633","15.53412","17.09902","16.50828","15.23540","16.45865","17.59552"
"Prrc2a","17.25409","15.41528","15.49309","15.15226","15.76038","16.22936","15.61702","17.58654","16.96361","17.07048","16.94984","17.46424","19.39672","17.44687","17.47046","17.45309","19.24861","17.54235","17.73248","16.51871","16.89858","15.97043","14.61330","16.11050","15.66163","16.50828","15.23540","16.45865","16.29927"
"Prnp","17.78811","17.80368","17.51163","17.89002","17.91982","18.97553","17.67191","18.55686","18.70058","19.67812","18.91398","19.56662","17.46424","17.44687","19.42548","17.45309","19.28949","16.31701","15.18681","15.12361","16.25580","19.05296","17.30314","16.56286","17.23604","18.63453","16.65945","16.45865","16.29927"
"Tmx1","20.96286","21.38600","21.75197","20.85824","20.28256","21.83092","20.53221","22.16226","21.54945","21.41515","20.84687","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","21.86021","22.09833","21.56904","23.24972","21.62792","23.08408","17.76125","21.00421","16.50828","20.46005","20.85824","20.50517"
"Phb2","14.56489","15.41528","16.87241","19.03401","17.34172","16.22936","19.98552","18.90866","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.25053","15.50983","17.46688","16.61780","17.94808","16.21791","17.59915","18.57728","18.74926","18.56263","16.45865","18.64983"
"Cops3","17.006474","17.458690","17.684836","17.563948","17.971059","16.229362","15.617022","18.090043","16.963611","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","16.768278"," 6.848008","16.504470","16.768278","17.291358","15.549022","17.474037","15.661630","16.508282","17.162449","16.458650","16.299267"
"Hspe1","18.160302","17.189576","17.865577","15.152258","15.760376","19.734875","18.298820","16.126067","20.024415","18.571322","16.949836","19.961742","17.464240","20.538089","17.470465","17.453089","20.592880","15.718734"," 6.848008","16.580065","15.129111","17.332483"," 6.848008","18.055434","15.661630","18.803839","17.736826","16.458650","16.299267"
"Hsbp1","18.23758","18.76709","18.72649","18.01464","15.76038","17.71644","19.40633","19.48289","19.27992","19.44097","20.41178","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.16241","17.28895","17.64582","17.06536","17.44687","17.36269","18.03745","19.06779","19.44429","18.12750","16.45865","19.58586"
"Fam177a1","14.564894","18.466236","15.493092","16.855528","18.547039","16.229362","18.101757","16.126067","16.963611","17.070477","18.609766","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074"," 6.848008"," 6.848008"," 6.848008"," 6.848008","16.126067"," 6.848008","18.893206","19.968703","20.220860","19.497524","20.139263","16.299267"
"Syt7","17.15101","16.80146","17.28440","16.60415","17.71644","18.58780","17.09372","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","19.63692","19.92121","17.45309","17.39907","17.28440","17.14267","16.70899","17.83732","17.54815","17.65360","18.07676","15.66163","16.50828","18.28691","16.45865","19.59115"
"Uqcrh","18.32013","15.41528","15.49309","18.20107","18.09004","21.21292","18.93839","20.27355","20.48476","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","15.98412","15.98412","16.57104","17.00074","17.35215","16.02747","19.01966","19.47231","16.50828","19.32081","20.81988","19.46144"
"Baiap2","21.07721","21.02646","21.07166","20.65261","19.64804","20.27791","19.60254","20.70531","21.00421","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","19.64804","20.18880","20.09362","20.24274","19.99684","19.51799","20.83714","19.27701","17.92508","19.51061","20.12624","18.36242"
"Pfdn4","18.92066","17.49739","18.79453","18.70058","18.62767","19.63079","17.72762","18.76145","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","19.88642","19.56846","19.32401","18.53070","19.10773","18.27587","17.50202","15.66163","16.50828","16.78583","16.45865","18.01464"
"Tmed2","22.075208","22.220687","21.614100","25.148146","18.460218","21.364600","19.369085","22.957818","16.963611","19.492546","19.058429","17.464240","17.464240","19.479547","17.470465","19.668183","17.399074"," 6.848008","13.398496","15.992288","16.423356","17.195470","16.753062","15.820012","17.156431","19.013475","15.235399","18.700579","19.444286"
"Raph1","14.56489","15.41528","15.49309","15.15226","15.76038","16.22936","15.61702","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","16.46245","15.57551","17.97373","16.72388","16.44696","15.93067","17.19547","17.24342","18.98146","16.99664","16.45865","16.29927"
"Cdc42ep4","14.56489","15.41528","15.49309","15.15226","15.76038","16.22936","15.61702","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.34172","16.87241","16.61780","18.29435","17.02933","18.53070","13.11983","15.66163","16.50828","15.23540","16.45865","16.29927"
"Hist1h1e","19.50724","18.95016","19.63692","19.62610","17.45041","16.22936","15.61702","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","19.77651","19.55145","19.63079","19.54138","19.56662","19.33641","13.11983","15.66163","16.50828","15.23540","16.45865","16.29927"
"Kcna2","14.564894","15.415283","15.493092","15.152258","15.760376","16.229362","15.617022","16.126067","16.963611","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","16.540619","13.684875","18.525486","15.920828"," 6.848008","15.820012","15.630373","18.391838","16.508282","15.235399","16.458650","18.101757"
"Gm11273","17.20351","17.86146","17.46688","17.97373","18.30278","18.91124","18.40890","19.81198","19.03401","19.35366","19.22649","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.30278","18.37337","18.01464","18.73845","18.42680","18.84996","20.18880","20.55482","18.76145","20.29644","21.26863","20.28256"
"Cops7b","16.35187","16.85553","15.49309","16.83665","15.76038","18.14231","15.61702","16.12607","19.07590","18.94715","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","16.70899","16.91477","16.21791","17.02933","16.15649","15.07018","15.76038","15.66163","16.50828","16.90940","16.45865","18.38023"
"Nceh1","16.617801","15.415283","15.493092","15.152258","15.760376","16.229362","15.617022","16.126067","16.963611","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","16.945023","17.230655","17.313800"," 6.848008","16.937898"," 6.848008","17.455768","15.661630","16.508282","18.554090","16.458650","16.299267"
"Tppp3","17.56395","15.41528","18.32793","18.00835","17.70383","16.22936","15.61702","19.11786","16.96361","17.07048","18.76145","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.17206","15.40766","17.96068","19.02475","18.29882","19.03110","20.71619","19.68679","16.50828","20.15570","16.45865","19.30365"
"Map1lc3a","18.06377","18.13098","18.54104","17.54815","15.76038","16.22936","17.08180","18.72649","16.96361","17.07048","16.94984","19.51799","17.46424","19.64804","19.48289","19.84557","17.39907","18.08671","17.45869","18.74926","17.66107","17.23604","17.02408","16.95767","15.66163","16.50828","16.76147","18.26138","16.29927"
"Tceal5","16.44043","19.43001","18.48508","15.15226","21.39569","21.88752","20.91058","19.70566","16.96361","17.07048","22.37933","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.35774","17.43236","15.94085","16.29283","16.29283","17.41972","20.83045","20.77237","20.86550","20.81034","16.45865","21.21292"
"Banf1","14.56489","15.41528","15.49309","15.15226","17.42420","16.22936","15.61702","16.12607","16.96361","17.07048","16.94984","17.46424","20.26466","20.34071","17.47046","17.45309","17.39907","17.45869","17.51163","17.60980","18.72172","17.82812","18.74926","13.11983","15.66163","16.50828","15.23540","16.45865","16.29927"
"Ensa","16.32726","15.41528","15.49309","16.83308","15.76038","17.68484","15.61702","17.59915","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","16.38920","16.35187","16.18767","17.19547","16.93197","17.77386","17.63264","15.66163","16.50828","15.23540","16.45865","17.72286"
"Inpp4a","14.564894","16.850089","15.493092","16.499600","17.502023","16.229362","17.167056","16.126067","16.963611","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074"," 6.848008","17.075576","17.367492","19.234987"," 6.848008","15.882199","13.119830","15.661630","16.508282","15.235399","16.458650","16.299267"
"Grm5","18.28186","15.41528","16.92750","16.65945","15.76038","18.63453","17.06536","18.60977","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.20351","17.49739","17.43236","16.94984","17.80845","17.45577","18.07308","18.00835","16.50828","17.05795","16.45865","17.83732"
"Ssb","14.564894","15.415283","16.801458","16.635117","17.346877","18.073084","17.566642","18.195802","16.963611","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","18.230413","16.060502","14.159435"," 6.848008","17.595518","17.458690","17.779079","19.343026","16.508282","16.593712","16.458650","17.850061"
